round_id,player1_id,player1_name,player1_score,player2_score,player2_name,player2_id
1,85861,Anthony Harris,?,?,Joseph Donaldson,08945
1,43973,Hannah Phillips,?,?,John Burton,81150
1,83892,Jennifer Reilly PhD,?,?,Stephanie Brennan,64069
1,12285,William Barnett,?,?,Lindsay Farley,06398
1,47851,Patricia Cross,?,?,Lauren Marshall,74076
1,63976,Adrian Benson,?,?,Mark Schneider,88708
1,10179,David Rodriguez DVM,?,?,Stacy Murphy,05335
1,63381,Jon Smith,?,?,Briana Nguyen,33749
1,90383,Carlos Perez Jr.,?,?,Barbara Wade PhD,84823
1,71004,Jesse Martinez,?,?,Tina Miller,67028
1,90675,James Herring,?,?,Amanda Lee,71761
1,96387,Bailey Rogers,?,?,Michele Cortez,45487
1,72557,Misty Fowler,?,?,Stacey Kim,26758
1,71469,Jacob Hodge,?,?,Patrick Brown,17353
1,57237,Nicole Smith,?,?,Linda Wright,07818
1,47902,Stephanie Villanueva,?,?,Jessica Dixon,90795
1,57405,Ernest Stokes,?,?,Mr. Andrew Lawson DVM,52547
1,34958,Kendra Aguirre DDS,?,?,Regina Martinez,07756
1,25844,Mary Lindsey,?,?,Timothy Rivera,50304
1,33438,Mary Harrison,?,?,Jennifer Garcia,36741
1,10654,Joseph Roberts,?,?,Christine Harvey,33055
1,08853,Wendy Anderson,?,?,Edgar Huynh,61330
1,00439,Vanessa Fleming,?,?,David Perez,21836
1,86244,Terry Wright,?,?,Kezban Jokic,11234
1,45634,Terry Anderson,?,?,Matthew Gray,32970
1,72889,Daniel Jackson,?,?,Carol Mcgee,20063
1,55175,Brenda Moore,?,?,Ronald Griffin,56787
1,75359,Robert Kelly,?,?,Kenneth Jenkins,27378
1,13441,Daniel Johnson,?,?,Mark Bean,98331
1,53541,Diana Bowen,?,?,Sarah Whitaker,73778
1,71654,Cory Carr,?,?,Rebecca Torres,86066
1,79277,Megan Wong,?,?,Kevin Hamilton,09221
1,87763,Megan Gonzalez,?,?,Ethan Jenkins,76056
1,47478,Hayley Taylor,?,?,Jeanette Vasquez DDS,11625
1,34540,Lindsay Davis,?,?,Nicole Owens,06085
1,50206,Lisa Wright,?,?,William Duffy,77368
1,12131,Pamela Smith,?,?,Melissa Smith,96096
1,49693,Tina Rogers,?,?,Scott Grant,38621
1,88080,Vanessa Delgado,?,?,Katherine Blackburn,82767
1,78235,Megan Williams,?,?,Kathryn Cook,56075
1,36935,Jared Sloan,?,?,Debra Griffin,74784
1,15145,Tracy Acevedo,?,?,Catherine Johnson,05689
1,89744,Justin Valdez,?,?,Jason Reed,69348
1,54851,Jonathan Roberts,?,?,John Cross,24659
1,10482,Jacqueline Hampton,?,?,Arthur Walker,41867
1,74393,Jesse Flores,?,?,Justin Doyle,63523
1,58023,James Stark,?,?,Rebecca Morrison,22127
1,73087,Danielle Willis,?,?,Sarah Ortega,62480
1,92494,Tyler Diaz,?,?,Rachel Castillo,20635
1,32424,Michael Santiago Jr.,BYE,_,_,_
1,92633,Scott Bray,?,?,Mitchell Odom,26901
